,County1,Dem-Rep %,State1,COVID Cases per 100K
52,Hickman,-55.99999999999999,Kentucky,1872.146118721461
53,Hopkins,-53.910000000000004,Kentucky,1528.4429127691
54,Jackson,-80.11,Kentucky,2873.4338660064527
55,Jefferson,13.329999999999998,Kentucky,2179.83011566898
56,Jessamine,-40.0,Kentucky,1225.1686223782685
57,Johnson,-70.97,Kentucky,734.6313322516677
58,Kenton,-26.04,Kentucky,1276.0631863854658
59,Knott,-53.99999999999999,Kentucky,1573.6863433743079
60,Knox,-67.63000000000001,Kentucky,1724.1932894525605
61,LaRue,-55.300000000000004,Kentucky,1000.138908181692
62,Laurel,-69.07000000000001,Kentucky,1678.9173367536548
63,Lawrence,-62.41,Kentucky,404.77900372135537
64,Lee,-64.0,Kentucky,243.14467107929215
65,Leslie,-80.47999999999999,Kentucky,921.3323883770377
66,Letcher,-62.96000000000001,Kentucky,909.3861643390712
67,Lewis,-67.53,Kentucky,1740.1129943502826
68,Lincoln,-57.239999999999995,Kentucky,916.5342783820114
69,Livingston,-57.76,Kentucky,1022.4059169023276
70,Logan,-46.08,Kentucky,2140.063463951
71,Lyon,-44.010000000000005,Kentucky,974.42143727162
72,Madison,-31.140000000000004,Kentucky,1212.2045920083158
73,Magoffin,-51.84,Kentucky,1183.912715454704
74,Marion,-30.119999999999997,Kentucky,977.5171065493646
75,Marshall,-51.80000000000001,Kentucky,2052.9751470635683
76,Martin,-79.44,Kentucky,822.3007976317737
77,Mason,-41.199999999999996,Kentucky,1281.5856379390855
78,McCracken,-37.18,Kentucky,1096.4630225080386
79,McCreary,-75.27,Kentucky,741.4024117909781
80,McLean,-52.41,Kentucky,767.4282366725249
81,Meade,-46.06,Kentucky,853.9829203415933
82,Menifee,-47.14,Kentucky,955.4630913854214
83,Mercer,-50.49000000000001,Kentucky,1221.9030684356906
84,Metcalfe,-54.43000000000001,Kentucky,1270.976069903684
85,Monroe,-73.66999999999999,Kentucky,2046.9483568075118
86,Montgomery,-41.019999999999996,Kentucky,1072.5574457506127
87,Morgan,-54.910000000000004,Kentucky,518.4461642497557
88,Muhlenberg,-46.870000000000005,Kentucky,2628.8289465090456
89,Nelson,-33.63999999999999,Kentucky,1152.8561849760993
90,Nicholas,-41.17999999999999,Kentucky,674.0954739303893
91,Ohio,-56.379999999999995,Kentucky,1996.3324164374426
92,Oldham,-31.049999999999997,Kentucky,1788.948936361323
93,Owen,-53.650000000000006,Kentucky,935.6939730299972
94,Owsley,-69.25,Kentucky,1087.202718006795
95,Pendleton,-57.260000000000005,Kentucky,685.4009595613434
96,Perry,-56.97,Kentucky,1354.9188601599506
97,Pike,-62.71,Kentucky,855.276798673025
98,Powell,-45.21000000000001,Kentucky,881.9483777004613
99,Pulaski,-66.66,Kentucky,1272.7188784068699
100,Robertson,-53.010000000000005,Kentucky,569.2599620493359
101,Rockcastle,-70.15,Kentucky,1150.0449236298293
102,Rowan,-21.239999999999995,Kentucky,1087.4897792313984
103,Russell,-70.58999999999999,Kentucky,1506.444233666239
104,Scott,-30.320000000000004,Kentucky,1459.5466984773002
105,Shelby,-33.620000000000005,Kentucky,2270.316579634465
106,Simpson,-38.94,Kentucky,1566.8748653887576
107,Spencer,-55.44,Kentucky,1162.7306082373007
